"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","99","should call onCancel when return to login button clicked","PasswordResetForm","Mon Jan 26 21:59:23 UTC 2026","passed","Mon Jan 26 21:59:23 UTC 2026","","","",""
"Test cases for TestFloatSetValid","0","TestFloatSetValid","","Mon Jan 26 21:57:01 UTC 2026","passed","Mon Jan 26 21:57:01 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/database/types/null/TestFloatSetValid","TestFloatSetValid"
"Test cases for TestGetAzureDataQualityStats_Failure","0","TestGetAzureDataQualityStats_Failure","","Mon Jan 26 21:56:55 UTC 2026","passed","Mon Jan 26 21:56:55 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestGetAzureDataQualityStats_Failure","TestGetAzureDataQualityStats_Failure"
"","44","should have a .z-nav class","MainNav","Mon Jan 26 21:58:13 UTC 2026","passed","Mon Jan 26 21:58:13 UTC 2026","","","",""
"","0","shows some collection methods for the given job","toCollected","Mon Jan 26 22:01:24 UTC 2026","passed","Mon Jan 26 22:01:24 UTC 2026","","","",""
"Test cases for TestResources_ListAuditLogs_OnlyOffset","0","TestResources_ListAuditLogs_OnlyOffset","","Mon Jan 26 21:56:55 UTC 2026","passed","Mon Jan 26 21:56:55 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestResources_ListAuditLogs_OnlyOffset","TestResources_ListAuditLogs_OnlyOffset"
"Test cases for TestEncodingValues","0","TestEncodingValues","","Mon Jan 26 21:57:22 UTC 2026","passed","Mon Jan 26 21:57:22 UTC 2026","","Go Test","github.com/specterops/bloodhound/packages/go/bomenc/TestEncodingValues","TestEncodingValues"
"Test cases for TestMarshalIntText","0","TestMarshalIntText","","Mon Jan 26 21:57:01 UTC 2026","passed","Mon Jan 26 21:57:01 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/database/types/null/TestMarshalIntText","TestMarshalIntText"
"Test cases for TestResources_GetAIACAEntityInfo","213","TestResources_GetAIACAEntityInfo","","Mon Jan 26 21:56:55 UTC 2026","passed","Mon Jan 26 21:56:55 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestResources_GetAIACAEntityInfo","TestResources_GetAIACAEntityInfo"
"","340","filters by the selected user","FileIngestFilterDialog","Mon Jan 26 21:58:17 UTC 2026","passed","Mon Jan 26 21:58:17 UTC 2026","","User Select","",""
"","6","does not render when selector is default","Delete Selector Button rendering","Mon Jan 26 22:01:28 UTC 2026","passed","Mon Jan 26 22:01:28 UTC 2026","","","",""
